# Rime user dictionary
#@/db_name	wubi86
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	776
#@/user_id	9d755a8e-3460-42bb-a30f-6e77590f4ec4
a 	工	c=5 d=2.25683 t=776
aa 	式	c=1 d=1 t=504
adwe 	期	c=1 d=1 t=607
ai 	东	c=4 d=1.07551 t=776
ak 	或	c=2 d=1 t=776
al 	功	c=2 d=0.860708 t=776
amd 	英	c=1 d=0.980199 t=776
amw 	黄	c=1 d=1 t=307
ar 	匠	c=1 d=0.852144 t=776
av 	切	c=1 d=1 t=194
ay 	芳	c=1 d=0.860708 t=776
b 	了	c=108 d=14.6534 t=776
bb 	子	c=2 d=1.77105 t=776
bc 	取	c=1 d=0.927743 t=776
bde 	随	c=1 d=1 t=776
bm 	出	c=8 d=4.27422 t=776
bn 	也	c=5 d=1.34473 t=776
bqt 	聊	c=1 d=1 t=776
bs 	阿	c=1 d=1 t=776
bt 	降	c=1 d=1 t=776
bu 	联	c=2 d=1.43171 t=776
bve 	限	c=1 d=1 t=776
bw 	队	c=2 d=1 t=776
bwg 	险	c=1 d=1 t=776
by 	防	c=1 d=0.831104 t=776
c 	以	c=18 d=7.99414 t=776
ccc 	又	c=4 d=1.99501 t=776
cd 	参	c=1 d=1 t=776
ce 	能	c=13 d=3.31024 t=776
cep 	通	c=1 d=1 t=377
cf 	对	c=13 d=3.07283 t=776
ck 	台	c=1 d=1 t=272
cn 	马	c=2 d=1.54335 t=776
cwy 	难	c=4 d=2.41342 t=776
d 	在	c=41 d=5.35402 t=776
da 	左	c=1 d=1 t=210
dc 	友	c=3 d=1.05455 t=776
dcg 	码	c=8 d=3.05592 t=776
dd 	大	c=7 d=2.52015 t=776
dg 	三	c=8 d=3.01799 t=776
dgkn 	感	c=1 d=1 t=776
dh 	丰	c=1 d=1 t=776
dhb 	存	c=6 d=4.33393 t=776
dhc 	破	c=1 d=0.904837 t=776
dht 	夏	c=1 d=1 t=776
dj 	百	c=4 d=3.11191 t=776
djya 	百度	c=1 d=1 t=776
dk 	右	c=1 d=1 t=211
dm 	面	c=9 d=2.94824 t=776
dmj 	而	c=1 d=1 t=776
dn 	成	c=5 d=1.07559 t=776
dqe 	确	c=3 d=2.10637 t=776
dr 	原	c=4 d=2.73142 t=776
dt 	帮	c=1 d=1 t=776
dy 	太	c=7 d=2.95633 t=776
e 	有	c=67 d=8.07859 t=776
eb 	服	c=3 d=1.79453 t=776
edm 	须	c=1 d=0.960789 t=776
eee 	月	c=3 d=1.99501 t=776
eg 	且	c=2 d=1.99501 t=776
emc 	股	c=2 d=1.99501 t=776
ert 	脾	c=1 d=0.818731 t=776
et 	用	c=25 d=4.60065 t=776
f 	地	c=4 d=1 t=776
fc 	支	c=2 d=1 t=776
fcl 	动	c=1 d=1 t=776
fcu 	去	c=11 d=2.30059 t=776
fdm 	需	c=2 d=1 t=776
fffy 	封	c=1 d=1 t=776
fg 	二	c=1 d=0.99005 t=776
fgh 	十	c=2 d=1.99501 t=776
fh 	直	c=1 d=1 t=776
fha 	越	c=6 d=5.78751 t=776
fhg 	址	c=3 d=2.97516 t=154
fhn 	起	c=7 d=1.87867 t=776
fhru 	直接	c=1 d=1 t=298
fhu 	走	c=1 d=1 t=776
fhw 	真	c=5 d=1 t=776
fi 	示	c=1 d=1 t=776
fiy 	求	c=1 d=1 t=242
fj 	进	c=6 d=1.94596 t=776
fku 	喜	c=1 d=1 t=655
fln 	㔹	c=1 d=1 t=776
fnw 	块	c=4 d=2.73214 t=776
fny 	专	c=1 d=1 t=776
fp 	过	c=14 d=4.68212 t=776
fpx 	索	c=1 d=1 t=64
ft 	才	c=7 d=3.13799 t=776
ftbt 	教	c=1 d=1 t=776
ftjb 	都	c=22 d=3.20111 t=776
ftx 	老	c=4 d=1.20168 t=776
fyj 	霁	c=1 d=1 t=776
fym 	坑	c=1 d=1 t=776
g 	一	c=62 d=5.78507 t=776
ga 	开	c=7 d=3.50441 t=776
gc 	到	c=38 d=3.95408 t=776
gd 	天	c=16 d=4.13587 t=776
ge 	表	c=2 d=1 t=776
gf 	于	c=1 d=1 t=776
gfq 	玩	c=2 d=1.99501 t=776
gg 	五	c=4 d=3.07713 t=776
gh 	下	c=36 d=7.6518 t=776
ghd 	正	c=5 d=1.34994 t=776
gi 	不	c=1 d=1 t=776
gik 	否	c=1 d=1 t=776
gip 	还	c=29 d=4.2426 t=776
gj 	理	c=2 d=1.79057 t=632
gjf 	理	c=4 d=2.24733 t=776
gjq 	更	c=2 d=1.96561 t=104
gk 	事	c=6 d=1.19375 t=776
gkih 	整	c=2 d=1.99501 t=776
gm 	现	c=17 d=4.98302 t=776
gmf 	再	c=3 d=1.19989 t=776
gmww 	两	c=9 d=2.55758 t=776
go 	来	c=22 d=3.6984 t=776
gq 	列	c=3 d=1.08892 t=776
gqx 	死	c=1 d=1 t=776
gr 	珠	c=2 d=1.65806 t=776
h 	上	c=23 d=5.4371 t=776
hh 	止	c=1 d=0.83527 t=776
hhhh 	目	c=1 d=0.856415 t=776
hhu 	卡	c=8 d=4.61542 t=776
hko 	点	c=12 d=3.2336 t=776
hw 	具	c=1 d=1 t=776
hxf 	些	c=2 d=1.13807 t=776
i 	不	c=64 d=6.59948 t=776
ibn 	池	c=1 d=1 t=776
idr 	源	c=3 d=1.71223 t=776
ifc 	法	c=10 d=2.39683 t=776
ige 	清	c=1 d=1 t=657
ih 	小	c=5 d=1.78497 t=776
iie 	消	c=1 d=1 t=776
iith 	消息	c=10 d=1.07157 t=776
im 	没	c=39 d=4.5985 t=776
img 	油	c=1 d=0.810584 t=776
ipfk 	深圳	c=1 d=0.955997 t=776
ipkh 	常	c=2 d=1 t=776
ipmq 	觉	c=1 d=1 t=776
iq 	光	c=1 d=1 t=769
it 	少	c=4 d=1.96141 t=776
itd 	活	c=1 d=1 t=776
itx 	海	c=2 d=1.66637 t=776
iv 	当	c=1 d=1 t=776
iw 	兴	c=4 d=1.17557 t=776
ix 	涨	c=3 d=1.94176 t=776
iy 	注	c=1 d=1 t=609
j 	是	c=76 d=6.05825 t=776
jb 	最	c=9 d=3.35528 t=776
je 	明	c=5 d=3.70911 t=776
jf 	时	c=20 d=3.0654 t=776
jfd 	里	c=21 d=3.19748 t=776
jghm 	题	c=4 d=1.22503 t=776
jgj 	量	c=1 d=1 t=776
jh 	早	c=1 d=1 t=606
jhyr 	申诉	c=1 d=1 t=776
jjjj 	日	c=3 d=1.9802 t=776
jm 	遇	c=1 d=1 t=369
jn 	电	c=3 d=1 t=776
jo 	显	c=1 d=1 t=776
js 	果	c=8 d=3.13911 t=776
jt 	昨	c=2 d=1.21871 t=776
jv 	归	c=1 d=1 t=776
jvko 	照	c=1 d=1 t=776
jyie 	影	c=1 d=1 t=770
k 	中	c=3 d=1.60906 t=776
kb 	啊	c=22 d=3.21857 t=776
kc 	吧	c=1 d=1 t=776
kcg 	吗	c=11 d=2.53827 t=776
kct 	唉	c=1 d=1 t=94
kgn 	号	c=4 d=1.53801 t=776
khi 	跳	c=1 d=1 t=776
khq 	跑	c=2 d=1.956 t=776
kht 	路	c=2 d=1.99501 t=92
kj 	虽	c=1 d=1 t=408
kkd 	器	c=6 d=1.25339 t=776
kkk 	品	c=1 d=1 t=776
kkkk 	口	c=3 d=1 t=776
kl 	另	c=2 d=1 t=776
klj 	别	c=8 d=4.38681 t=776
kn 	叫	c=7 d=4.19413 t=776
knx 	呢	c=9 d=5.06061 t=776
kqb 	兄	c=1 d=1 t=776
kr 	听	c=1 d=1 t=776
ksk 	呵	c=1 d=1 t=776
ksks 	呵呵	c=3 d=1.17464 t=776
kth 	咱	c=1 d=1 t=776
